volume,page,year,caseTitle,oldCite,usCite,dateDecision,docket,term,issue,datesArgued,daysArgument,votesPetitioner,votesRespondent,advocateName,advocateRole,urlOyez,advocateMatched
524,624,0,"Bragdon v. Abbott","","524 U.S. 624","","97-156",1997,"Civil Rights, Rights of Handicapped (331)","1998-03-30",1,4,5,"Lawrence G. Wallace","Department of Justice, on behalf of the United States, as amicus curiae, supporting the respondents","https://www.oyez.org/cases/1997/97-156","true"
525,128,0,"Nynex Corp. v. Discon, Inc.","","525 U.S. 128","","96-1570",1998,"Economic Activity, Antitrust (601)","1998-10-05",1,9,0,"Lawrence G. Wallace","On behalf of the United States, as amicus curiae","https://www.oyez.org/cases/1998/96-1570","true"
525,299,0,"Humana Inc. v. Forsyth","","525 U.S. 299","","97-303",1998,"Federalism, Federal Preemption of State Regulation (911)","1998-11-30",1,0,9,"Lawrence G. Wallace","On behalf of the United States, as amicus curiae, supporting the respondents","https://www.oyez.org/cases/1998/97-303","true"
526,756,0,"California Dental Association v. Federal Trade Commission","","526 U.S. 756","","97-1625",1998,"Economic Activity, Antitrust (601)","1999-01-13",1,5,4,"Lawrence G. Wallace","Argued the cause for the respondent","https://www.oyez.org/cases/1998/97-1625","true"
527,150,0,"Dickinson v. Zurko","","527 U.S. 150","","98-377",1998,"Judicial Power, Judicial Review (721)","1999-03-24",1,6,3,"Lawrence G. Wallace","Argued the cause for the petitioner","https://www.oyez.org/cases/1998/98-377","true"
529,861,0,"Geier v. American Honda Motor Co.","","529 U.S. 861","","98-1811",1999,"Economic Activity, Nongovernmental Liability (617)","1999-12-07",1,4,5,"Lawrence G. Wallace","Argued the cause for the United States, as amicus curiae, by special leave of court, supporting the respondents","https://www.oyez.org/cases/1999/98-1811","true"
529,205,0,"Wal-Mart Stores Inc. v. Samara Bros. Inc.","","529 U.S. 205","","99-150",1999,"Economic Activity, Trademark (663)","2000-01-19",1,9,0,"Lawrence G. Wallace","Argued the cause for the United States, as amicus curiae, by special leave of court","https://www.oyez.org/cases/1999/99-150","true"
530,15,0,"Raleigh v. Illinois Dept. of Revenue","","530 U.S. 15","","99-387",1999,"Economic Activity, Bankruptcy (611)","2000-04-17",1,0,9,"Lawrence G. Wallace","Argued the cause for the United States, as amicus curiae, by special leave of court, supporting the respondent","https://www.oyez.org/cases/1999/99-387","true"
531,159,0,"Solid Waste Agency v. Army Corps of Engineers","","531 U.S. 159","","99-1178",2000,"Economic Activity, Natural Resources (638)","2000-10-31",1,5,4,"Lawrence G. Wallace","Argued the cause for the respondents","https://www.oyez.org/cases/2000/99-1178","true"
532,23,0,"TrafFix Devices Inc. v. Marketing Displays Inc.","","532 U.S. 23","","99-1571",2000,"Economic Activity, Copyright (662)","2000-11-29",1,9,0,"Lawrence G. Wallace","Argued the cause for the United States, as amicus curiae, by special leave of court, supporting the petitioner","https://www.oyez.org/cases/2000/99-1571","true"
532,706,0,"NLRB v. Ky. River Cmty. Care","","532 U.S. 706","","99-1815",2000,"Unions, Representative Election (578)","2001-02-21",1,4,5,"Lawrence G. Wallace","Department of Justice, argued the cause for the petitioner","https://www.oyez.org/cases/2000/99-1815","true"
534,124,0,"J.E.M. Supply v. Pioneer Hi-Bred International","","534 U.S. 124","","99-1996",2001,"Economic Activity, Patents (661)","2001-10-03",1,2,6,"Lawrence G. Wallace","Department of Justice, on behalf of the United States, as amicus curiae, in support of the respondent","https://www.oyez.org/cases/2001/99-1996","true"
535,722,0,"Festo Corp. v. Shoketsu Kinzoku Kogyo Kabushiki Co.","","535 U.S. 722","","00-1543",2001,"Economic Activity, Patents (661)","2002-01-08",1,0,9,"Lawrence G. Wallace","Argued the cause for the United States, as amicus curiae, supporting vacatur and remand","https://www.oyez.org/cases/2001/00-1543","true"
536,516,0,"BE & K Construction Co. v. NLRB","","536 U.S. 516","","01-518",2001,"Unions, Dispute (589)","2002-04-16",1,9,0,"Lawrence G. Wallace","Argued the cause for the respondents","https://www.oyez.org/cases/2001/01-518","true"
537,418,0,"Moseley v. V Secret Catalogue, Inc.","","537 U.S. 418","","01-1015",2002,"Economic Activity, Trademark (663)","2002-11-12",1,9,0,"Lawrence G. Wallace","Argued the cause for the United States, as amicus curiae, supporting the petitioner","https://www.oyez.org/cases/2002/01-1015","true"
