Title,References,Included,Choper (2011)+S - DeBruyne,Farber (2013)+S - DeBruyne,Barnett (2013)+S - DeBruyne,Stone (2013)+S - DeBruyne,Sullivan (2013)+S - Eichenberger,Varat (2013?)+S - Eichenberger,Chemerinsky (2013)+S -Taylor,Rotunda (2012?)+S -Taylor,Funk -Taylor,Maggs-Taylor,Paulson (2013)+S - DeBruyne,Shanor (2009)+S - DeBruyne,Young-Eichenberger,Massey (2012)+S - DeBruyne,Weaver (2013)+S - DeBruyne,Brettschneider-Eichenberger,Epstein-Walker (Vol 1) (2013)+S - Eichenberger,Epstein-Walker (Vol 2) (2013)+S - Eichenberger,Fisher (Vol 1) 10e (2013) - Taylor,Fisher (Vol 2) 10e (2013) - Taylor,Murphy et al. (2013) - DeBruyne,Gillman et al. Vol 1 (2012) - DeBruyne,Gillman et al. Vol 2 (2012) - DeBruyne,Citation,ID,Date,Category,Issue,Legal Provision
"Boerne v. Flores",21,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,"521 U.S. 507","1996-087","1997-06-25","First Amendment","free exercise of religion","Constitutional Amendment: Fourteenth Amendment (enforcement clause)"
"Griswold v. Connecticut",21,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,"381 U.S. 479","1964-121","1965-06-07","Privacy","privacy (cf. libel, comity: privacy)","Constitutional Amendment: Fourteenth Amendment (due process)"
"Marbury v. Madison",21,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,"5 U.S. 137","1803-005","1803-02-24","Judicial Power","judicial administration: Supreme Court's original jurisdiction","Infrequently litigated statutes: Infrequently litigated statutes (Judiciary Act of 1789)"
"Roe v. Wade",21,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,"410 U.S. 113","1972-048","1973-01-22","Privacy","abortion: including contraceptives","Constitutional Amendment: Fourteenth Amendment (due process)"
"Immigration & Naturalization Serv. v. Chadha",20,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,"462 U.S. 919","1982-130","1983-06-23","Miscellaneous","legislative veto","Federal Statute: Immigration and Naturalization, Immigration, Nationality, or Illegal Immigration Reform and Immigrant Responsibility Acts, as amended"
"Lawrence v. Texas",20,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,"539 U.S. 558","2002-083","2003-06-26","Privacy","privacy (cf. libel, comity: privacy)","Constitutional Amendment: Fourteenth Amendment (due process)"
"Lochner v. New York",20,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,"198 U.S. 45","1904-096","1905-04-17","Economic Activity","state or local government regulation, especially of business (cf. federal pre-emption of state court jurisdiction, federal pre-emption of state legislation or regulation)","Infrequently litigated statutes: Infrequently litigated statutes (state 10 hour bakers' workday)"
"Brown v. Board of Education (I)",19,0,1,0,1,1,1,1,1,1,0,"x (Shawnee)",1,1,1,1,1,1,1,1,0,1,1,0,1,"347 U.S. 483","1953-069","1954-05-17","Civil Rights","desegregation, schools","Constitutional Amendment: Fourteenth Amendment (equal protection)"
"Buckley v. Valeo",19,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,"424 U.S. 1","1975-033","1976-01-30","First Amendment","campaign spending (cf. governmental corruption):","Constitution: Article II, Section 2, Paragraph 2 (appointments clause)"
"Gibbons v. Ogden",19,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,"22 U.S. 1","1824-012","1824-03-02","Economic Activity","federal and some few state regulations of transportation regulation: boat","Constitution: Article I, Section 8, Paragraph 3 (interstate commerce clause)"
"Youngstown Sheet & Tube Co. v. Sawyer",19,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,"343 U.S. 579","1951-088","1952-06-02","Miscellaneous","miscellaneous","Other: Executive Order (NA)"
"Citizens United v. Federal Electric Commission",18,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,1,0,1,"558 U.S. 310","2009-012","2010-01-21","First Amendment","campaign spending (cf. governmental corruption):","Constitutional Amendment: First Amendment (speech, press, and assembly) (NA)"
"Ex parte McCardle",18,0,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,"74 U.S. 506","1868-072","1869-04-12","Judicial Power","judicial administration: Supreme Court jurisdiction or authority on appeal or writ of error, from federal district courts or courts of appeals (cf. 753)","Constitution: Article III, Section 2 (extent of judicial power)"
"Grutter v. Bollinger",18,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,0,1,"539 U.S. 306","2002-078","2003-06-23","Civil Rights","affirmative action","Constitutional Amendment: Fourteenth Amendment (equal protection)"
"United States v. Curtiss-Wright Export Corp.",18,0,1,1,0,1,"x -- by JG",0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,"299 U.S. 304","1936-038","1936-12-21","Miscellaneous","executive authority vis-a-vis congress or the states","Constitution: Article I, Section 1 (delegation of powers)"
"United States v. Nixon",18,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,"418 U.S. 683","1973-172","1974-07-24","Criminal Procedure","discovery and inspection (in the context of criminal litigation only, otherwise Freedom of Information Act and related federal or state statutes or regulations)","0: 0"
"Baker v. Carr",17,0,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,"369 U.S. 186","1961-051","1962-03-26","Civil Rights","reapportionment: other than plans governed by the Voting Rights Act","0: 0"
"Bush v. Gore",17,0,1,1,1,1,0,0,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,1,"531 U.S. 98","2000-009","2000-12-12","Civil Rights","voting","Infrequently litigated statutes: Infrequently litigated statutes (3 U.S.C. § 5)"
"Craig v. Boren",17,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,0,0,"429 U.S. 190","1976-025","1976-12-20","Civil Rights","sex discrimination (excluding sex discrimination in employment)","Constitutional Amendment: Fourteenth Amendment (equal protection)"
"District of Columbia v. Heller",17,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,"554 U.S. 570","2007-071","2008-06-26","Criminal Procedure","miscellaneous criminal procedure (cf. due process, prisoners' rights, comity: criminal procedure)","Constitutional Amendment: Second Amendment (NA)"
"Garcia v. San Antonio Metro. Transit Auth.",17,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,"469 U.S. 528","1984-029","1985-02-19","Unions","Fair Labor Standards Act","Federal Statute: Fair Labor Standards"
"Hamdi v. Rumsfeld",17,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,0,1,1,1,"542 U.S. 507","2003-086","2004-06-28","Due Process","due process: hearing or notice (other than as pertains to government employees or prisoners' rights)","Constitutional Amendment: Fifth Amendment (due process)"
"McCulloch v. Maryland",17,0,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,0,"17 U.S. 316","1819-023","1819-03-06","Federalism","national supremacy: state tax (cf. state tax)","Constitution: Article I, Section 8, Paragraph 18 (necessary and proper clause)"
"Parents Involved in Community Schools v. Seattle School Dist. No. 1",17,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,0,1,1,0,1,"551 U.S. 701","2006-073","2007-06-28","Civil Rights","desegregation, schools","Constitutional Amendment: Fourteenth Amendment (equal protection) (NA)"
"Planned Parenthood of Southeastern Pennsylvania v. Casey",17,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1,0,1,"505 U.S. 833","1991-117","1992-06-29","Privacy","abortion: including contraceptives","Constitutional Amendment: Fourteenth Amendment (due process)"
"The Slaughter-House Cases",17,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1,"83 U.S. 36","1872-150","1873-04-14","Economic Activity","state or local government regulation, especially of business (cf. federal pre-emption of state court jurisdiction, federal pre-emption of state legislation or regulation)","Constitutional Amendment: Fourteenth Amendment (privileges and immunities clause)"
"United States v. Lopez",17,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,"514 U.S. 549","1994-051","1995-04-26","Federalism","national supremacy: miscellaneous","Infrequently litigated statutes: Infrequently litigated statutes (18 U.S.C. § 922)"
"Washington v. Glucksberg",17,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,"521 U.S. 702","1996-091","1997-06-26","Privacy","right to die","Constitutional Amendment: Fourteenth Amendment (due process)"
"Brandenburg v. Ohio",16,0,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,1,1,0,1,"395 U.S. 444","1968-124","1969-06-09","First Amendment","First Amendment, miscellaneous (cf. comity: First Amendment)","Constitutional Amendment: First Amendment (speech, press, and assembly)"
"Clinton v. New York",16,0,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,0,"524 U.S. 417","1997-095","1998-06-25","Miscellaneous","miscellaneous","Constitution: Article I, Section 7, Paragraph 2 (separation of powers)"
"Dames & Moore v. Regan",16,0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,1,"453 U.S. 654","1980-152","1981-07-02","Due Process","due process: takings clause, or other non-constitutional governmental taking of property","Infrequently litigated statutes: Infrequently litigated statutes (50 U.S.C. § 1702)"
"Morrison v. Olson",16,0,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,0,1,0,"487 U.S. 654","1987-149","1988-06-27","Miscellaneous","miscellaneous","Infrequently litigated statutes: Infrequently litigated statutes (28 U.S.C. § 49)"
"New York Times Co. v. Sullivan",16,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,0,1,1,0,0,"376 U.S. 254","1963-067","1964-03-09","First Amendment","libel, defamation: defamation of public officials and public and private persons","Constitutional Amendment: First Amendment (speech, press, and assembly)"
"Plessy v. Ferguson",16,0,1,0,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,0,1,"163 U.S. 537","1895-271","1896-05-18","Civil Rights","desegregation (other than as pertains to school desegregation, employment discrimination, and affirmative action)","Infrequently litigated statutes: Infrequently litigated statutes (13th and 14th Amendments)"
"Reynolds v. Sims",16,0,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,0,1,1,0,1,"377 U.S. 533","1963-140","1964-06-15","Civil Rights","reapportionment: other than plans governed by the Voting Rights Act","Constitutional Amendment: Fourteenth Amendment (equal protection)"
"Romer v. Evans",16,0,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0,1,0,1,0,1,1,0,1,"517 U.S. 620","1995-053","1996-05-20","Privacy","privacy (cf. libel, comity: privacy)","Constitutional Amendment: Fourteenth Amendment (equal protection)"
"United States v. O'Brien",16,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,1,0,1,"391 U.S. 367","1967-135","1968-05-27","First Amendment","protest demonstrations (other than as pertains to sit-in demonstrations): demonstrations and other forms of protest based on First Amendment guarantees","Federal Statute: Selective Service, Military Selective Service, or Universal Military Service and Training Acts"
"United States v. Virginia",16,0,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,0,1,0,1,1,0,1,"518 U.S. 515","1995-085","1996-06-26","Civil Rights","sex discrimination (excluding sex discrimination in employment)","Constitutional Amendment: Fourteenth Amendment (equal protection)"
"Wickard v. Filburn",16,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,"317 U.S. 111","1942-005","1942-11-09","Economic Activity","natural resources - environmental protection (cf. national supremacy: natural resources, national supremacy: pollution)","Infrequently litigated statutes: Infrequently litigated statutes (2d Agricultural Adjustment Act)"
"Civil Rights Cases, The",15,0,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,0,1,1,"109 U.S. 3","1883-004","1883-10-15","Civil Rights","liability, civil rights acts (cf. liability, governmental and liability, nongovernmental; cruel and unusual punishment, non-death penalty)","Constitutional Amendment: Fourteenth Amendment (due process)"
"Clinton v. Jones",15,0,0,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,0,1,0,"520 U.S. 681","1996-059","1997-05-27","Economic Activity","liability, governmental: tort or contract actions by or against government or governmental officials other than defense of criminal actions brought under a civil rights action.","Constitution: Article I, Section 7, Paragraph 2 (separation of powers) (NA)"
"Cohen v. California",15,0,1,1,0,1,1,0,1,1,1,1,1,0,0,1,1,1,0,1,0,1,1,0,0,"403 U.S. 15","1970-121","1971-06-07","First Amendment","protest demonstrations (other than as pertains to sit-in demonstrations): demonstrations and other forms of protest based on First Amendment guarantees","Constitutional Amendment: First Amendment (speech, press, and assembly)"
"New York Times Co. v. United States [The Pentagon Papers Case]",15,0,1,1,0,1,1,1,1,1,0,1,1,0,0,0,1,1,0,1,1,1,0,0,1,"403 U.S. 713","1970-145","1971-06-30","First Amendment","First Amendment, miscellaneous (cf. comity: First Amendment)","Constitutional Amendment: First Amendment (speech, press, and assembly)"
"New York v. United States",15,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,"505 U.S. 144","1991-099","1992-06-19","Federalism","national supremacy: pollution, air or water (cf. natural resources - environmental protection)","Constitution: Article I, Section 8, Paragraph 3 (interstate commerce clause)"
"R.A.V. v. St. Paul",15,0,1,1,1,1,1,0,1,1,0,1,1,0,0,1,1,1,0,1,0,1,1,0,0,"505 U.S. 377","1991-105","1992-06-22","First Amendment","protest demonstrations (other than as pertains to sit-in demonstrations): demonstrations and other forms of protest based on First Amendment guarantees","Constitutional Amendment: First Amendment (speech, press, and assembly)"
"San Antonio Ind. School Dist. v. Rodriguez",15,0,1,0,0,1,1,1,1,1,0,1,1,1,0,1,1,0,0,1,0,1,1,0,1,"411 U.S. 1","1972-083","1973-03-21","Civil Rights","poverty law, constitutional","Constitutional Amendment: Fourteenth Amendment (equal protection)"
"Texas v. Johnson",15,0,1,1,1,0,1,1,1,1,0,1,1,0,0,1,1,1,0,1,0,1,0,0,1,"491 U.S. 397","1988-124","1989-06-21","First Amendment","protest demonstrations (other than as pertains to sit-in demonstrations): demonstrations and other forms of protest based on First Amendment guarantees","Constitutional Amendment: First Amendment (speech, press, and assembly)"
"Washington v. Davis",15,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,"426 U.S. 229","1975-113","1976-06-07","Civil Rights","employment discrimination: on basis of race, age, religion, illegitimacy, national origin, or working conditions.","Constitutional Amendment: Fifth Amendment (equal protection)"
"Zelman v. Simmons-Harris",15,0,1,1,0,1,0,1,1,1,1,1,1,0,0,1,1,0,0,1,0,1,1,0,1,"536 U.S. 639","2001-080","2002-06-27","First Amendment","parochiaid: government aid to religious schools, or religious requirements in public schools","Constitutional Amendment: First Amendment (establishment of religion)"
"Dred Scott v. Sandford",14,0,0,0,1,1,1,0,1,0,0,1,1,1,1,0,1,1,0,0,0,1,1,1,1,"60 U.S. 393","1856-063","1857-02-27","Economic Activity","liability, other than as in sufficiency of evidence, election of remedies, punitive damages","State or local law or regulation: State or Local Law Regulation"
"Employment Division Department of Human Resources v. Smith (The Peyote Case)",14,0,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,1,"494 U.S. 872","1989-061","1990-04-17","First Amendment","free exercise of religion","Constitutional Amendment: First Amendment (free exercise of religion)"
"Gonzales v. Raich",14,0,0,0,1,0,1,1,1,0,0,1,1,1,1,1,0,1,1,0,1,0,1,1,0,"545 U.S. 1","2004-054","2005-06-06","Federalism","national supremacy: commodities","Infrequently litigated statutes: Infrequently litigated statutes (21 U.S.C. § 801)"
"Loving v. Virginia",14,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,0,1,0,0,1,0,0,"388 U.S. 1","1966-119","1967-06-12","Civil Rights","desegregation (other than as pertains to school desegregation, employment discrimination, and affirmative action)","Constitutional Amendment: Fourteenth Amendment (equal protection)"
"Printz v. United States",14,0,1,0,1,1,0,0,1,1,0,1,1,1,1,1,1,0,1,0,0,0,1,1,0,"521 U.S. 898","1996-095","1997-06-27","Federalism","national supremacy: miscellaneous","Infrequently litigated statutes: Infrequently litigated statutes (18 U.S.C. § 922)"
"Shelley v. Kraemer",14,0,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1,0,0,1,0,1,0,0,1,"334 U.S. 1","1947-072","1948-05-03","Civil Rights","desegregation (other than as pertains to school desegregation, employment discrimination, and affirmative action)","Constitutional Amendment: Fourteenth Amendment (equal protection)"
"South Dakota v. Dole",14,0,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,"483 U.S. 203","1986-144","1987-06-23","Federalism","national supremacy: miscellaneous","Infrequently litigated statutes: Infrequently litigated statutes (23 U.S.C. § 158)"
"United States v. Darby",14,0,1,0,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,0,1,0,1,0,0,"312 U.S. 100","1940-092","1941-02-03","Unions","Fair Labor Standards Act","Constitution: Article I, Section 8, Paragraph 3 (interstate commerce clause)"
"United States v. Morrison",14,0,1,0,1,1,1,0,1,1,0,1,0,1,0,0,1,1,1,0,1,0,1,1,0,"529 U.S. 598","1999-057","2000-05-15","Federalism","national supremacy: miscellaneous","Infrequently litigated statutes: Infrequently litigated statutes (42 U.S.C. § 1398)"
"United States v. Windsor",14,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,"570 U.S. 744","2012-079","2013-06-26","Due Process","due process: miscellaneous (cf. loyalty oath), the residual code","Infrequently litigated statutes: Infrequently litigated statutes (DOMA)"
"Abrams v. United States",13,0,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,0,1,0,1,0,0,0,"250 U.S. 616","1919-014","1919-11-10","First Amendment","federal or state internal security legislation: Smith, Internal Security, and related federal statutes","No Legal Provision: No Legal Provision"
"Adarand Constructors, Inc. v. Pena",13,0,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,1,0,1,1,0,0,"515 U.S. 200","1994-069","1995-06-12","Civil Rights","affirmative action","Constitutional Amendment: Fifth Amendment (equal protection)"
"Cleburne v. Cleburne Living Center, Inc.",13,0,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,"473 U.S. 432","1984-158","1985-07-01","Economic Activity","zoning: constitutionality of such ordinances, or restrictions on owners' or lessors' use of real property","Constitutional Amendment: Fourteenth Amendment (equal protection)"
"Gonzales v. Carhart",13,0,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,0,0,0,1,1,0,0,"550 U.S. 124","2006-031","2007-04-18","Privacy","abortion: including contraceptives","Infrequently litigated statutes: Infrequently litigated statutes (18 U.S.C. § 1531)"
"Hammer v. Dagenhart",13,0,1,0,1,1,1,0,0,1,1,1,0,0,1,0,1,1,1,0,1,0,0,1,0,"247 U.S. 251","1917-137","1918-06-03","Civil Rights","juveniles (cf. rights of illegitimates)","Constitutional Amendment: Tenth Amendment"
"Heart of Atlanta Motel, Inc. v. United States",13,0,1,0,1,1,0,1,1,1,0,1,1,1,0,0,1,1,0,0,0,1,0,1,0,"379 U.S. 241","1964-017","1964-12-14","Civil Rights","desegregation (other than as pertains to school desegregation, employment discrimination, and affirmative action)","Federal Statute: Civil Rights Act of 1964 (Title II)"
"Katzenbach v. Morgan",13,0,1,0,1,1,1,0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,1,0,1,"384 U.S. 641","1965-126","1966-06-13","Civil Rights","Voting Rights Act of 1965, plus amendments","Federal Statute: Voting Rights Act of 1965, plus amendments"
"Martin v. Hunter's Lessee",13,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,1,1,1,0,1,0,1,1,0,"14 U.S. 304","1816-034","1816-03-20","Judicial Power","judicial administration: Supreme Court jurisdiction or authority on appeal or writ of error, from highest state court","Infrequently litigated statutes: Infrequently litigated statutes (Judiciary Act of 1789, section 25)"
"Missouri v. Holland",13,0,0,0,0,1,1,1,0,1,1,1,1,0,0,1,1,0,1,0,1,0,1,1,0,"252 U.S. 416","1919-093","1920-04-19","Federalism","national supremacy: natural resources (cf. natural resources - environmental protection)","No Legal Provision: No Legal Provision"
"NLRB v. Jones & Laughlin Steel Corp.",13,0,0,0,1,1,1,0,1,1,0,1,0,0,1,1,1,1,1,0,1,0,0,1,0,"301 U.S. 1","1936-053","1937-04-12","Unions","labor-management disputes: employee discharge","Constitution: Article I, Section 8, Paragraph 3 (interstate commerce clause)"
"Plyler v. Doe",13,0,0,1,0,1,0,1,1,1,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,"457 U.S. 202","1981-120","1982-06-15","Civil Rights","immigration and naturalization: access to public education","Constitutional Amendment: Fourteenth Amendment (equal protection)"
"Schenck v. United States",13,0,0,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,0,1,0,1,0,0,1,"249 U.S. 47","1918-168","1919-03-03","First Amendment","federal or state internal security legislation: Smith, Internal Security, and related federal statutes","Federal Statute: Internal Security (also see 369)"
"Boumediene v. Bush",12,0,1,1,0,0,1,1,1,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,"553 U.S. 723","2007-053","2008-06-12","Criminal Procedure","habeas corpus","Constitution: Article I, Section 9, Paragraph 2 (suspension of the writ of habeas corpus)"
"Boy Scouts of America v. Dale",12,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,"530 U.S. 640","1999-085","2000-06-28","Civil Rights","sex discrimination (excluding sex discrimination in employment)","Constitutional Amendment: First Amendment (speech, press, and assembly)"
"Branzburg v. Hayes",12,0,1,0,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,"408 U.S. 665","1971-176","1972-06-29","First Amendment","First Amendment, miscellaneous (cf. comity: First Amendment)","Constitutional Amendment: First Amendment (speech, press, and assembly)"
"Cooley v. Board of Wardens",12,0,1,1,1,0,1,1,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,"53 U.S. 299","1851-051","1852-03-02","Economic Activity","state or local government tax","Constitution: Article I, Section 8, Paragraph 3 (interstate commerce clause)"
"Cooper v. Aaron",12,0,0,1,0,0,1,0,0,1,1,1,0,0,1,1,1,1,0,0,0,1,1,1,0,"358 U.S. 1","1958-002","1958-09-12","Civil Rights","desegregation, schools","Constitutional Amendment: Fourteenth Amendment (equal protection)"
"Cruzan v. Director, Mo. Dept. of Health",12,0,0,0,0,1,0,0,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,0,0,"497 U.S. 261","1989-126","1990-06-25","Privacy","right to die","Constitutional Amendment: Fourteenth Amendment (due process)"
"Everson v. Board of Education",12,0,0,1,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,0,1,0,0,0,"330 U.S. 1","1946-049","1947-02-10","First Amendment","establishment of religion (other than as pertains to parochiaid:)","Constitutional Amendment: Fourteenth Amendment (due process)"
"Kelo v. New London",12,0,1,1,1,0,0,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,"545 U.S. 469","2004-069","2005-06-23","Due Process","due process: takings clause, or other non-constitutional governmental taking of property","Constitutional Amendment: Fifth Amendment (takings clause)"
"Korematsu v. United States",12,0,1,0,1,1,0,0,1,0,0,1,1,1,0,0,1,0,1,0,1,0,1,0,1,"323 U.S. 214","1944-018","1944-12-18","Civil Rights","desegregation (other than as pertains to school desegregation, employment discrimination, and affirmative action)","Infrequently litigated statutes: Infrequently litigated statutes (56 Stat. 173 Japanese Internment, Executive Order 9066)"
"Lee v. Weisman",12,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,1,1,0,1,0,1,1,0,1,"505 U.S. 577","1991-110","1992-06-24","First Amendment","establishment of religion (other than as pertains to parochiaid:)","Constitutional Amendment: First Amendment (establishment of religion)"
"McCreary County, Kentucky v. ACLU",12,0,0,1,1,0,1,1,1,0,1,1,0,0,0,1,1,1,0,0,0,1,1,0,0,"545 U.S. 844","2004-078","2005-06-27","First Amendment","establishment of religion (other than as pertains to parochiaid:)","Constitutional Amendment: First Amendment (establishment of religion) (NA)"
"Miller v. California",12,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,"413 U.S. 15","1972-158","1973-06-21","First Amendment","obscenity, state (cf. comity: privacy): including the regulation of sexually explicit material under the 21st Amendment","Constitutional Amendment: First Amendment (speech, press, and assembly)"
"National Federation of Independent Business v. Sebelius",12,0,1,0,0,1,1,1,1,1,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,"567 U.S. 519","2011-077","2012-06-28","Federalism","national supremacy: miscellaneous","Constitution: Article I, Section 8, Paragraph 1 (taxing, spending, general welfare, or uniformity clause) (NA)"
"Philadelphia v. New Jersey",12,0,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,"437 U.S. 617","1977-134","1978-06-23","Economic Activity","state or local government regulation, especially of business (cf. federal pre-emption of state court jurisdiction, federal pre-emption of state legislation or regulation)","Constitution: Article I, Section 8, Paragraph 3 (interstate commerce clause)"
"Shaw v. Reno",12,0,1,1,0,0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1,1,0,1,"509 U.S. 630","1992-116","1993-06-28","Civil Rights","reapportionment: other than plans governed by the Voting Rights Act","Constitutional Amendment: Fourteenth Amendment (equal protection)"
"Sherbert v. Verner",12,0,0,0,1,1,1,1,1,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,1,"374 U.S. 398","1962-150","1963-06-17","First Amendment","free exercise of religion","Constitutional Amendment: First Amendment (free exercise of religion)"
"Snyder v. Phelps",12,0,0,1,1,1,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,1,0,1,"562 U.S. 443","2010-023","2011-03-02","First Amendment","protest demonstrations (other than as pertains to sit-in demonstrations): demonstrations and other forms of protest based on First Amendment guarantees","Constitutional Amendment: First Amendment (speech, press, and assembly) (NA)"
"Whitney v. California",12,0,1,1,0,1,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,1,"274 U.S. 357","1926-050","1927-05-16","First Amendment","First Amendment, miscellaneous (cf. comity: First Amendment)","Constitutional Amendment: First Amendment (speech, press, and assembly)"
"Bowers v. Hardwick",11,0,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,"478 U.S. 186","1985-144","1986-06-30","Privacy","privacy (cf. libel, comity: privacy)","Constitutional Amendment: Fourteenth Amendment (due process)"
"Dennis v. United States",11,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,"384 U.S. 855","1965-135","1966-06-20","First Amendment","federal or state internal security legislation: Smith, Internal Security, and related federal statutes","Infrequently litigated statutes: Infrequently litigated statutes (18 U.S.C. § 371)"
"Frontiero v. Richardson",11,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,"411 U.S. 677","1972-113","1973-05-14","Civil Rights","sex discrimination (excluding sex discrimination in employment)","Constitutional Amendment: Fifth Amendment (equal protection)"
"Gertz v. Robert Welch, Inc.",11,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,"418 U.S. 323","1973-162","1974-06-25","First Amendment","libel, defamation: defamation of public officials and public and private persons","Constitutional Amendment: First Amendment (speech, press, and assembly)"
