Title,References,Included,Choper (2011)+S - DeBruyne,Farber (2013)+S - DeBruyne,Barnett (2013)+S - DeBruyne,Stone (2013)+S - DeBruyne,Sullivan (2013)+S - Eichenberger,Varat (2013?)+S - Eichenberger,Chemerinsky (2013)+S -Taylor,Rotunda (2012?)+S -Taylor,Funk -Taylor,Maggs-Taylor,Paulson (2013)+S - DeBruyne,Shanor (2009)+S - DeBruyne,Young-Eichenberger,Massey (2012)+S - DeBruyne,Weaver (2013)+S - DeBruyne,Brettschneider-Eichenberger,Epstein-Walker (Vol 1) (2013)+S - Eichenberger,Epstein-Walker (Vol 2) (2013)+S - Eichenberger,Fisher (Vol 1) 10e (2013) - Taylor,Fisher (Vol 2) 10e (2013) - Taylor,Murphy et al. (2013) - DeBruyne,Gillman et al. Vol 1 (2012) - DeBruyne,Gillman et al. Vol 2 (2012) - DeBruyne,Citation,ID,Date,Category,Issue,Legal Provision
"Branti v. Finkel ",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"445 U.S. 507","1979-064","1980-03-31","First Amendment","First Amendment, miscellaneous (cf. comity: First Amendment)","Constitutional Amendment: First Amendment (speech, press, and assembly)"
"Bridges v. California",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"314 U.S. 252","1941-004","1941-12-08","First Amendment","First Amendment, miscellaneous (cf. comity: First Amendment)","Constitutional Amendment: First Amendment (speech, press, and assembly)"
"Broadrick v. Oklahoma",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"413 U.S. 601","1972-178","1973-06-25","First Amendment","First Amendment, miscellaneous (cf. comity: First Amendment)","Constitutional Amendment: First Amendment (speech, press, and assembly)"
"Browder v. Gayle",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"undefined",undefined,undefined,undefined,undefined,undefined
"Brown v. Hartlage",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"456 U.S. 45","1981-073","1982-04-05","First Amendment","First Amendment, miscellaneous (cf. comity: First Amendment)","Constitutional Amendment: First Amendment (speech, press, and assembly)"
"Brown v. Legal Found. of Wash ",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"undefined",undefined,undefined,undefined,undefined,undefined
"Brown v. Maryland",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"25 U.S. 419","1827-039","1827-03-12","Economic Activity","state or local government tax","Constitution: Article I, Section 10, Paragraph 2 (export-import clause)"
"Burdick v. Takushi",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"504 U.S. 428","1991-081","1992-06-08","Civil Rights","ballot access (of candidates and political parties)","Constitutional Amendment: First Amendment (association)"
"Burdine v. Johnson",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"undefined",undefined,undefined,undefined,undefined,undefined
"Bush v. Palm Beach County Canvassing Board",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"531 U.S. 70","2000-007","2000-12-04","Judicial Power","no merits: remand to determine basis of state or federal court decision (cf. judicial administration: state law)","0: 0"
"Bushell's Case",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"undefined",undefined,undefined,undefined,undefined,undefined
"California v. Ciraolo",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"476 U.S. 207","1985-082","1986-05-19","Criminal Procedure","search and seizure (other than as pertains to vehicles or Crime Control Act)","Constitutional Amendment: Fourth Amendment"
