term,docket,usCite,caseTitle,dateArgument,dateRearg,audioExists,advocatesPetitioner,advocatesRespondent,advocatesOther,dateDecision,caseLink
1977,"77-598","437 U.S. 322","Greyhound Corporation v. Mt. Hood Stages, Inc.","1978-04-24","",true,"john_reese","eugene_crew","","1978-06-19","https://www.oyez.org/cases/1977/77-598"
1977,"77-335","437 U.S. 340","Oppenheimer Fund, Inc. v. Sanders","1978-02-28,1978-03-01","",true,"","donald_ruby","","1978-06-19","https://www.oyez.org/cases/1977/77-335"
1977,"77-677","437 U.S. 365","Owen Equipment & Erection Company v. Kroger","1978-04-18","",true,"emil_sodoro","warren_schrempp","","1978-06-21","https://www.oyez.org/cases/1977/77-677"
1977,"77-5353","437 U.S. 385","Mincey v. Arizona","1978-02-21","",true,"richard_oseran","galen_wilkes","","1978-06-21","https://www.oyez.org/cases/1977/77-5353"
1977,"76-1121","437 U.S. 411","American Broadcasting Companies, Inc. v. Writers Guild of America, West, Inc.","1977-12-05","1978-03-20",true,"harry_keaton,norton_come","julius_reich","charles_bakaly,laurence_gold,lawrence_gold","1978-06-21","https://www.oyez.org/cases/1977/76-1121"
1977,"77-539","437 U.S. 443","Zenith Radio Corporation v. United States","1978-04-25,1978-04-26","",true,"frederick_ikenson","","unknown_advocate","1978-06-21","https://www.oyez.org/cases/1977/77-539"
1977,"76-1836","437 U.S. 463","Coopers & Lybrand v. Livesay","1978-03-22","",true,"thomas_walsh","melvyn_weiss","","1978-06-21","https://www.oyez.org/cases/1977/76-1836"
1977,"77-560","437 U.S. 478","Gardner v. Westinghouse Broadcasting Company","1978-03-22","",true,"robert_hackett","leonard_scheinholtz","","1978-06-21","https://www.oyez.org/cases/1977/77-560"
1977,"77-152","437 U.S. 483","Beth Israel Hospital v. National Labor Relations Board","1978-04-24","",true,"robert_chandler","norton_come","laurence_gold,louis_chandler","1978-06-22","https://www.oyez.org/cases/1977/77-152"
1977,"77-324","437 U.S. 518","Hicklin v. Orbeck","1978-03-21","",true,"robert_wagstaff","ronald_lorensen","","1978-06-22","https://www.oyez.org/cases/1977/77-324"
