[13:42:09] Using gulpfile ~/Sites/lonedissent/gulpfile.js
[13:42:09] Starting 'advocates-all'...
[13:42:09] Starting 'buildAdvocatesAll'...
warning: case East Texas Motor Freight Lines, Inc. v. Frozen Food Express (https://www.oyez.org/cases/1955/162) has no advocates; found speaker "Robert W. Ginnane" (robert_w_ginnane) in transcript
warning: case East Texas Motor Freight Lines, Inc. v. Frozen Food Express (https://www.oyez.org/cases/1955/162) has no advocates; found speaker "David G. Macdonald" (david_g_macdonald) in transcript
warning: case East Texas Motor Freight Lines, Inc. v. Frozen Food Express (https://www.oyez.org/cases/1955/162) has no advocates; found speaker "Carl L. Phinney" (carl_l_phinney) in transcript
warning: case East Texas Motor Freight Lines, Inc. v. Frozen Food Express (https://www.oyez.org/cases/1955/162) has no advocates; found speaker "Charles H. Weston" (charles_h_weston) in transcript
warning: case United Gas Pipe Line Company v. Mobile Gas Service Corporation (https://www.oyez.org/cases/1955/17) has no advocates; found speaker "Howard E. Wahrenbrock" (howard_e_wahrenbrock) in transcript
warning: case United Gas Pipe Line Company v. Mobile Gas Service Corporation (https://www.oyez.org/cases/1955/17) has no advocates; found speaker "Thomas Fletcher" (thomas_fletcher) in transcript
warning: case United Gas Pipe Line Company v. Mobile Gas Service Corporation (https://www.oyez.org/cases/1955/17) has no advocates; found speaker "William C. Chanler" (william_c_chanler) in transcript
warning: case General Stores Corporation v. Shlensky (https://www.oyez.org/cases/1955/170) has no advocates; found speaker "Aaron Rosen" (aaron_rosen) in transcript
warning: case General Stores Corporation v. Shlensky (https://www.oyez.org/cases/1955/170) has no advocates; found speaker "Max Goldweber" (max_goldweber) in transcript
warning: case General Stores Corporation v. Shlensky (https://www.oyez.org/cases/1955/170) has no advocates; found speaker "Leon Singer" (leon_singer) in transcript
warning: case General Stores Corporation v. Shlensky (https://www.oyez.org/cases/1955/170) has no advocates; found speaker "Williams H. Timbers" (williams_h_timbers) in transcript
warning: case General Stores Corporation v. Shlensky (https://www.oyez.org/cases/1955/170) has no advocates; found speaker "A. Alan Reich" (a_alan_reich) in transcript
warning: case Mastro Plastics Corporation v. National Labor Relations Board (https://www.oyez.org/cases/1955/19) has no advocates; found speaker "Bernard H. Fitzpatrick" (bernard_h_fitzpatrick) in transcript
warning: case Mastro Plastics Corporation v. National Labor Relations Board (https://www.oyez.org/cases/1955/19) has no advocates; found speaker "Dominick L. Manoli" (dominick_l_manoli) in transcript
warning: case Corn Products Refining Company v. Commissioner of Internal Revenue (https://www.oyez.org/cases/1955/20) has no advocates; found speaker "Jay O. Kramer" (jay_o_kramer) in transcript
